meter_number,timestamp,strftime,cumulative_dist,step_distance_m,gap_seconds,quality_flag,x,y
28,1728412725.710991,2024_10_08_11-38-45,28.009,0.0223,0.34,good,55.1209632070441,-19.34888785512824
29,1728412738.295475,2024_10_08_11-38-58,29.0171,0.0292,0.33,good,54.24487786543997,-18.85951939633018
30,1728412749.207219,2024_10_08_11-39-09,30.0278,0.0328,0.33,good,53.42589296039782,-18.26823911164936
31,1728412759.022453,2024_10_08_11-39-19,31.0122,0.0338,0.33,good,52.62531850714433,-17.695635183233964
32,1728412769.329316,2024_10_08_11-39-29,32.0127,0.0312,0.34,good,51.80370278609426,-17.125379883615594
33,1728412779.615188,2024_10_08_11-39-39,33.0214,0.0349,0.4,good,51.05292149593956,-16.45742049970125
34,1728412788.624723,2024_10_08_11-39-48,34.0177,0.0379,0.34,good,50.44214156301398,-15.670593813845986
35,1728412797.49229,2024_10_08_11-39-57,35.0311,0.0368,0.33,good,49.82561561182926,-14.866281900907818
36,1728412807.780925,2024_10_08_11-40-07,36.0271,0.0282,0.33,good,49.15698238172029,-14.130247658177426
37,1728412821.378997,2024_10_08_11-40-21,37.0024,0.0228,0.33,good,48.286844755473886,-13.723110470018888
38,1728412835.482694,2024_10_08_11-40-35,38.0198,0.0261,0.33,good,47.27967075548674,-13.580973163403963
39,1728412847.427834,2024_10_08_11-40-47,39.0257,0.0295,0.34,good,46.28993550350791,-13.408776042335912
40,1728412858.009624,2024_10_08_11-40-58,40.0038,0.0327,0.33,good,45.3952417474044,-13.016156537909257
41,1728412867.510337,2024_10_08_11-41-07,41.0213,0.0369,0.34,good,44.518109371787624,-12.502345828006142
42,1728412876.491546,2024_10_08_11-41-16,42.0219,0.0362,0.34,good,43.69127490394994,-11.938981999849018
43,1728412886.44581,2024_10_08_11-41-26,43.0223,0.031,0.35,good,42.783716181704875,-11.523851133647717
44,1728412897.414308,2024_10_08_11-41-37,44.0226,0.0293,0.35,good,41.83834786666067,-11.196937601189864
45,1728412908.779421,2024_10_08_11-41-48,45.0199,0.0301,0.33,good,40.8971510234632,-10.867934066370914
46,1728412918.997425,2024_10_08_11-41-58,46.0343,0.0355,0.33,good,40.01143553884406,-10.377413498727899
47,1728412927.916486,2024_10_08_11-42-07,47.0073,0.0383,0.32,good,39.249178434673105,-9.773443864521228
48,1728412936.485889,2024_10_08_11-42-16,48.019,0.0403,0.32,good,38.506535178736634,-9.086882736808375
49,1728412944.127419,2024_10_08_11-42-24,49.0245,0.0459,0.36,good,37.863946292274875,-8.314542514399479
50,1728412951.166235,2024_10_08_11-42-31,50.0193,0.0487,0.33,good,37.30978863364772,-7.488660586507697
51,1728412957.978464,2024_10_08_11-42-37,51.0445,0.0488,0.34,good,36.771429081967,-6.61617710715846
52,1728412964.762181,2024_10_08_11-42-44,52.0257,0.0483,0.33,good,36.283230912057974,-5.765048087270636
53,1728412971.924742,2024_10_08_11-42-51,53.0019,0.0446,0.33,good,35.781044809441816,-4.9279967408431204
54,1728412979.736114,2024_10_08_11-42-59,54.0236,0.0406,0.34,good,35.2111756575735,-4.080167938533582
55,1728412989.27601,2024_10_08_11-43-09,55.0288,0.0306,0.34,good,34.57414277729235,-3.303377487784938
56,1728413001.462447,2024_10_08_11-43-21,56.0082,0.024,0.32,good,33.867977062024565,-2.6253407227365595
57,1728413018.047254,2024_10_08_11-43-38,57.011,0.021,0.33,good,33.05486903943513,-2.039799676443401
58,1728413031.804064,2024_10_08_11-43-51,58.0064,0.0281,0.34,good,32.290301995528374,-1.4035249684986315
59,1728413042.635205,2024_10_08_11-44-02,59.024,0.0343,0.34,good,31.525756113152756,-0.7321333566999161
60,1728413051.835444,2024_10_08_11-44-11,60.0036,0.0382,0.35,good,30.729571472971063,-0.16314704122364912
61,1728413060.314564,2024_10_08_11-44-20,61.0245,0.0402,0.34,good,29.79573231747276,0.24391863265466926
62,1728413068.310581,2024_10_08_11-44-28,62.0262,0.0435,0.34,good,28.83249481602719,0.5187936867317675
63,1728413075.885026,2024_10_08_11-44-35,63.0367,0.0434,0.34,good,27.85516640512567,0.7755992723138709
64,1728413083.630493,2024_10_08_11-44-43,64.0247,0.0421,0.33,good,26.903931206151057,1.0423352423467134
65,1728413091.549169,2024_10_08_11-44-51,65.0337,0.0418,0.34,good,25.960953260722913,1.4000829357849924
66,1728413099.45999,2024_10_08_11-44-59,66.003,0.0422,0.34,good,25.085736184371147,1.8162670016288758
67,1728413107.226996,2024_10_08_11-45-07,67.0321,0.0442,0.34,good,24.181473601491827,2.3071400328686362
68,1728413114.380845,2024_10_08_11-45-14,68.0129,0.0484,0.34,good,23.35881263331363,2.840773495874907
69,1728413121.416748,2024_10_08_11-45-21,69.005,0.0454,0.33,good,22.534618819387337,3.392943841532657
70,1728413129.039339,2024_10_08_11-45-29,70.0098,0.0417,0.33,good,21.7065850709614,3.9619963420064828
71,1728413137.699681,2024_10_08_11-45-37,71.0083,0.0352,0.33,good,20.901530858090048,4.552487754821778
72,1728413148.746783,2024_10_08_11-45-48,72.0017,0.027,0.32,good,20.158459492733606,5.210209319466038
73,1728413159.92464,2024_10_08_11-45-59,73.0158,0.0325,0.33,good,19.59989945261102,6.053123981074283
74,1728413169.826206,2024_10_08_11-46-09,74.0255,0.0335,0.33,good,19.19479446411133,6.9773454465364155
75,1728413179.948367,2024_10_08_11-46-19,75.0121,0.033,0.33,good,18.856121946635998,7.903969629187333
76,1728413190.211899,2024_10_08_11-46-30,76.0172,0.0313,0.32,good,18.51975306460732,8.851164958351537
77,1728413201.066931,2024_10_08_11-46-41,77.0279,0.0292,0.33,good,18.152243885241056,9.792555829098351
78,1728413213.026183,2024_10_08_11-46-53,78.0008,0.0275,0.32,good,17.761600213301808,10.68349088367663
79,1728413225.639918,2024_10_08_11-47-05,79.0039,0.0255,0.33,good,17.253560598273026,11.547197351957623
80,1728413238.079289,2024_10_08_11-47-18,80.0237,0.0295,0.33,good,16.546891895093417,12.278188283819901
81,1728413248.908785,2024_10_08_11-47-28,81.0092,0.0322,0.34,good,15.701004580447549,12.779250867743242
82,1728413258.375712,2024_10_08_11-47-38,82.0313,0.0366,0.33,good,14.754541477404143,13.164709713584498
83,1728413267.161858,2024_10_08_11-47-47,83.0189,0.0396,0.35,good,13.821967355828535,13.489451769778602
84,1728413275.623938,2024_10_08_11-47-55,84.0026,0.037,0.32,good,12.888425696523566,13.79940703542609
85,1728413285.237016,2024_10_08_11-48-05,85.0061,0.0326,0.34,good,11.920922359667326,14.064347508079127
86,1728413295.393159,2024_10_08_11-48-15,86.0224,0.0323,0.33,good,10.925824506659257,14.270470308002674
87,1728413305.923413,2024_10_08_11-48-25,87.0018,0.0335,0.33,good,9.977621168839304,14.513753921107241
88,1728413314.655683,2024_10_08_11-48-34,88.0357,0.0426,0.33,good,9.01858044674522,14.898215444464432
89,1728413321.970365,2024_10_08_11-48-41,89.0429,0.0475,0.33,good,8.1115527654949,15.33606811322664
90,1728413328.945539,2024_10_08_11-48-48,90.0439,0.0473,0.33,good,7.213596891102038,15.778518947802091
91,1728413336.207068,2024_10_08_11-48-56,91.0061,0.0442,0.34,good,6.3430093915838945,16.188187448601973
92,1728413344.551186,2024_10_08_11-49-04,92.0027,0.0366,0.33,good,5.442982437736109,16.616037067614105
93,1728413355.139976,2024_10_08_11-49-15,93.0084,0.0284,0.35,good,4.577375449632344,17.124442973889803
94,1728413365.955369,2024_10_08_11-49-25,94.0277,0.034,0.34,good,3.8772405875356575,17.860827375713146
95,1728413375.008662,2024_10_08_11-49-35,95.0234,0.0387,0.34,good,3.338674414785285,18.697495490626284
96,1728413383.667122,2024_10_08_11-49-43,96.0228,0.0374,0.34,good,2.8938403581318104,19.591980341861124
97,1728413393.427425,2024_10_08_11-49-53,97.0096,0.0307,0.34,good,2.527774062909578,20.508312867817125
98,1728413405.94238,2024_10_08_11-50-05,98.0167,0.0232,0.34,good,2.1977330860338715,21.459741030241315
99,1728413420.56675,2024_10_08_11-50-20,99.0197,0.0239,0.34,good,1.8580564147547671,22.402752645392166
100,1728413441.925577,2024_10_08_11-50-41,100.0093,0.0129,0.31,good,1.4708330752898235,23.313091161299724
