meter_number,timestamp,strftime,cumulative_dist,step_distance_m,gap_seconds,quality_flag,x,y
0,1728412350.869,2024_10_08_11-32-30,0.0,0.0,0.0,good,74.80121421813965,-37.20717430114746
1,1728412374.679405,2024_10_08_11-32-54,1.0137,0.0262,0.34,good,73.82302422774465,-36.96377246254369
2,1728412386.038223,2024_10_08_11-33-06,2.0124,0.0312,0.33,good,72.89616281609786,-36.59292120682566
3,1728412396.954223,2024_10_08_11-33-16,3.0187,0.0298,0.34,good,72.0257404528166,-36.091924205579254
4,1728412409.225803,2024_10_08_11-33-29,4.0196,0.0256,0.33,good,71.21701788651316,-35.502384266100435
5,1728412422.095686,2024_10_08_11-33-42,5.003,0.0278,0.33,good,70.49991872687089,-34.83141503585012
6,1728412434.794496,2024_10_08_11-33-54,6.0003,0.0241,0.34,good,69.69381858424137,-34.24497251008686
7,1728412450.996683,2024_10_08_11-34-10,7.0059,0.0169,0.34,good,68.82282883493524,-33.780149399606806
8,1728412470.401179,2024_10_08_11-34-30,8.0012,0.0196,0.32,good,67.86812543367084,-33.512856975354644
9,1728412483.995424,2024_10_08_11-34-43,9.0068,0.0289,0.33,good,67.15195473118833,-32.81799292313425
10,1728412494.957523,2024_10_08_11-34-54,10.01,0.0308,0.33,good,66.58637960333573,-31.989518476787367
11,1728412505.589492,2024_10_08_11-35-05,11.0122,0.031,0.34,good,66.0335070158306,-31.1537420774761
12,1728412516.615765,2024_10_08_11-35-16,12.0085,0.0292,0.33,good,65.47452464856599,-30.329056790000514
13,1728412528.222425,2024_10_08_11-35-28,13.0134,0.0292,0.32,good,64.88954210783307,-29.512208496896843
14,1728412539.363044,2024_10_08_11-35-39,14.031,0.0316,0.34,good,64.30427205939041,-28.679898231907895
15,1728412549.476608,2024_10_08_11-35-49,15.0209,0.0344,0.33,good,63.75078767475329,-27.859232209858142
16,1728412559.250696,2024_10_08_11-35-59,16.0102,0.0348,0.35,good,63.1911850377133,-27.04396334196392
17,1728412568.889787,2024_10_08_11-36-08,17.0105,0.0336,0.34,good,62.687677042107836,-26.17970179507607
18,1728412579.79377,2024_10_08_11-36-19,18.0157,0.0279,0.34,good,62.20430370130037,-25.29839684335809
19,1728412593.657605,2024_10_08_11-36-33,19.0198,0.0208,0.32,good,61.66698142603824,-24.451461731760126
20,1728412611.29119,2024_10_08_11-36-51,20.0015,0.0185,0.36,good,60.989461236251024,-23.742647251329924
21,1728412627.93188,2024_10_08_11-37-07,21.0003,0.0199,0.33,good,60.39617899844521,-22.9398161034835
22,1728412642.435683,2024_10_08_11-37-22,22.012,0.026,0.33,good,59.89908029656661,-22.058948396381577
23,1728412654.971662,2024_10_08_11-37-34,23.0226,0.0275,0.33,good,59.40408224808542,-21.178039671245376
24,1728412667.138627,2024_10_08_11-37-47,24.007,0.0255,0.33,good,58.8234569348787,-20.385227906076533
25,1728412680.820903,2024_10_08_11-38-00,25.0042,0.0233,0.33,good,58.04753393875925,-19.761417228297184
26,1728412695.326779,2024_10_08_11-38-15,26.0142,0.0228,0.34,good,57.10057870965255,-19.452117879767165
27,1728412710.389733,2024_10_08_11-38-30,27.0097,0.0243,0.33,good,56.10596895719829,-19.459805398238334
