"time","date","flight_time","depth","heading","battery_remaining","lat","lon","satellite_count","temp","seq","avg_dist","avg_conf","EucDIS","clock","clock_min","lat_smooth","lon_smooth","EucSmooth"
"11:01:41","3/30/2023","00:16:06",-6.30936,256,83,47.6302032,-122.3981094,10,46.38,16.1333333333333,0.979333333333333,100,NA,1,0.0166666666666667,47.6301939790565,-122.398128809673,NA
"11:01:42","3/30/2023","00:16:07",-6.30936,258,83,47.6301994,-122.3981094,10,46.4,16.15,0.950555555555555,100,0.422337493250812,2,0.0333333333333333,47.6301936094671,-122.39812664907,0.167440499754049
"11:01:43","3/30/2023","00:16:08",-6.30936,258,83,47.6301956,-122.398117,10,46.38,16.1666666666667,0.944666666666667,100,0.710202050122753,3,0.05,47.630193173775,-122.398124644493,0.158195122106936
"11:01:44","3/30/2023","00:16:09",-6.27888,254,83,47.6301956,-122.398117,10,46.38,16.1833333333333,0.956,100,0,4,0.0666666666666667,47.63019267553,-122.398122788159,0.15005598004793
"11:01:45","3/30/2023","00:16:10",-6.2484,257,83,47.6301918,-122.398117,10,46.38,16.2,0.970777777777778,100,0.422337491064763,5,0.0833333333333333,47.630192118213,-122.398121072431,0.143010880690469
"11:01:46","3/30/2023","00:16:11",-6.27888,254,83,47.6301918,-122.398117,10,46.38,16.2166666666667,0.973666666666667,100,0,6,0.1,47.6301915052349,-122.398119489826,0.137034276443533
"11:01:47","3/30/2023","00:16:12",-6.27888,256,83,47.6301918,-122.398117,10,46.4,16.2333333333333,0.968333333333333,100,0,7,0.116666666666667,47.6301908399378,-122.398118033011,0.132085203111668
"11:01:48","3/30/2023","00:16:13",-6.30936,256,83,47.6301879,-122.3981246,10,46.4,16.25,0.956888888888889,100,0.716867078277401,8,0.133333333333333,47.6301901255942,-122.398116694805,0.128106077136255
"11:01:49","3/30/2023","00:16:14",-6.27888,256,83,47.6301879,-122.398117,10,46.4,16.2666666666667,0.947333333333333,100,0.570979958129333,9,0.15,47.6301893654074,-122.398115468177,0.125023454714465
"11:01:50","3/30/2023","00:16:15",-6.27888,256,83,47.6301879,-122.398117,10,46.4,16.2833333333333,0.951666666666667,100,0,10,0.166666666666667,47.6301885625112,-122.398114346246,0.122750216417351
"11:01:51","3/30/2023","00:16:16",-6.27888,256,83,47.6301841,-122.398117,10,46.4,16.3,0.9577,100,0.422337489198559,11,0.183333333333333,47.6301877199702,-122.398113322282,0.121189081643746
"11:01:52","3/30/2023","00:16:17",-6.27888,256,83,47.6301841,-122.398117,10,46.4,16.3166666666667,0.954,100,0,12,0.2,47.6301868407795,-122.398112389708,0.120237232066872
"11:01:53","3/30/2023","00:16:18",-6.27888,256,83,47.6301841,-122.398117,10,46.4,16.3333333333333,0.939666666666667,100,0,13,0.216666666666667,47.6301859278648,-122.398111542097,0.119790794773261
"11:01:54","3/30/2023","00:16:19",-6.30936,256,83,47.6301803,-122.3981246,10,46.4,16.35,0.913333333333333,100,0.710202181995382,14,0.233333333333333,47.6301849840827,-122.398110773171,0.119748967903658
"11:01:55","3/30/2023","00:16:20",-6.30936,256,83,47.6301803,-122.398117,10,46.4,16.3666666666667,0.897222222222222,100,0.57098004091259,15,0.25,47.6301840122204,-122.398110076805,0.120017322857116
"11:01:56","3/30/2023","00:16:21",-6.27888,256,83,47.6301803,-122.3981246,10,46.4,16.3833333333333,0.907333333333333,100,0.57098004091259,16,0.266666666666667,47.6301830149956,-122.398109447024,0.120509926316488
"11:01:57","3/30/2023","00:16:22",-6.27888,256,83,47.6301803,-122.398117,10,46.4,16.4,0.932222222222222,100,0.57098004091259,17,0.283333333333333,47.6301819950567,-122.398108878004,0.121150605972567
"11:01:58","3/30/2023","00:16:23",-6.27888,256,83,47.6301803,-122.398117,10,46.42,16.4166666666667,0.942555555555555,100,0,18,0.3,47.6301809549828,-122.398108364073,0.121873269015433
