Date,Time,Mode_num,Mode,Battery_V,Battery_A,Battery_W,Battery_mAh_used,Battery_Wh_used,Latitude,Longitude,EKFlat,EKFlon,DVLx,DVLy,DVLlat,DVLlon,Altitude,Depth,Depth_std,Depth_Source,Heading,Velocity_mps,Width,Area_m2,Distance,NEDz,VFR_alt
2026-05-12,09:17:31,,UNKNOWN,0.0,0.0,0.0,,,,,,,,,,,0.0,,,NEDz,0.0,0.3256770670413971,0.0,0.0,0.0,,0.0
2026-05-12,09:17:32,,UNKNOWN,0.0,0.0,0.0,,,,,,,,,,,0.0,,,NEDz,0.0,0.3256770670413971,0.0,0.0,0.0,,0.0
2026-05-12,09:17:33,,UNKNOWN,0.0,0.0,0.0,,,,,,,,,,,0.0,,,NEDz,0.0,0.3256770670413971,0.0,0.0,0.0,,0.0
2026-05-12,09:17:34,,UNKNOWN,0.0,0.0,0.0,,,,,,,,,,,0.0,,,NEDz,0.0,0.3256770670413971,0.0,0.0,0.0,,0.0
2026-05-12,09:17:35,,UNKNOWN,0.0,0.0,0.0,,,,,,,,,,,0.0,,,NEDz,0.0,0.3256770670413971,0.0,0.0,0.0,,0.0
2026-05-12,09:17:36,,UNKNOWN,0.0,0.0,0.0,,,,,,,,,,,0.0,,,NEDz,0.0,0.3256770670413971,0.0,0.0,0.0,,0.0
2026-05-12,09:17:37,,UNKNOWN,0.0,0.0,0.0,,,,,,,,,,,0.0,,,NEDz,0.0,0.3256770670413971,0.0,0.0,0.0,,0.0
2026-05-12,09:17:38,,UNKNOWN,0.0,0.0,0.0,,,,,,,,,,,0.0,,,NEDz,0.0,0.3256770670413971,0.0,0.0,0.0,,0.0
2026-05-12,09:17:39,,UNKNOWN,0.0,0.0,0.0,,,,,,,,,,,0.0,,,NEDz,0.0,0.27099689096212387,0.0,0.0,0.0,,0.0
2026-05-12,09:17:40,,UNKNOWN,0.0,0.0,0.0,,,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:17:41,,UNKNOWN,0.0,0.0,0.0,,,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:17:42,,UNKNOWN,0.0,0.0,0.0,,,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:17:43,,UNKNOWN,0.0,0.0,0.0,,,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:17:44,,UNKNOWN,0.0,0.0,0.0,,,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:17:45,,UNKNOWN,0.0,0.0,0.0,,,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:17:46,,UNKNOWN,0.0,0.0,0.0,,,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:17:47,,UNKNOWN,0.0,0.0,0.0,,,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:17:48,,UNKNOWN,0.0,0.0,0.0,,,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:17:49,,UNKNOWN,0.0,0.0,0.0,,,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:17:50,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:17:51,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:17:52,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:17:53,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:17:54,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:17:55,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:17:57,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:17:58,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:17:59,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
2026-05-12,09:18:00,,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,NEDz,0.0,0.21631671488285065,0.0,0.0,0.0,,0.0
