Date,Time,Mode_num,Mode,Battery_V,Battery_A,Battery_W,Battery_mAh_used,Battery_Wh_used,Latitude,Longitude,EKFlat,EKFlon,DVLx,DVLy,DVLlat,DVLlon,Altitude,Depth,Depth_Source,Heading,Velocity_mps,Width,Area_m2,Distance,NEDz,VFR_alt
10/8/2025,11:03:13,19,MANUAL,13.56195783132534,4.578975903614455,62.100573795180836,3.00,0.027777777777777776,47.6260986,-122.3755388,47.6261009,-122.3755439,0.076414406,0.095284812,47.62610119870642,-122.3755452,7.1896986501762665,0.041115027,NEDz,66.64242110853368,0.43588197949420976,12.527505223792012,113.27849215034031,0.18542988,-0.041115027,0
10/8/2025,11:03:14,19,MANUAL,13.574088607594948,4.814746835443052,65.35598373417716,5.00,0.06,47.6261009,-122.3755439,47.6261009,-122.3755439,0.43325263261795044,0.12428545206785202,47.626104408172644,-122.3755448,7.219746710378913,0.036429863423109055,NEDz,9.992157395581602,0.29206246854383733,12.579861692326915,114.22449212167692,0.35801474393876465,-0.036429863,0
10/8/2025,11:03:15,19,MANUAL,13.571975903614414,4.711927710843383,63.95,6.00,0.08,47.6261003,-122.3755407,47.6260998,-122.3755435,0.6378157138824463,0.21788449585437775,47.62610624804921,-122.3755436,7.176445581826819,-0.153090864,NEDz,134.42280575103334,0.4063708622412509,12.50441275621342,112.86205099720877,0.22495963018767764,0.15309086441993713,0
10/8/2025,11:03:16,19,MANUAL,13.565752941176454,4.8322352941176385,65.55246658823528,7.00,0.08,47.6261016,-122.3755446,47.6261016,-122.3755446,1.0524382591247559,0.2624222934246063,47.626109977237824,-122.375543,6.9043527855592615,0.079226486,NEDz,337.4498397000757,0.4299986217390088,12.030311671807846,104.49152531970371,0.41700775824391767,-0.079226486,0
10/8/2025,11:03:17,19,MANUAL,13.61801818181814,2.78,37.74227321212119,8.00,0.1111111111111111,47.6260987,-122.3755412,47.6260987,-122.3755412,0.9708362221717834,0.17473790049552917,47.62610924329464,-122.3755442,7.222969563802083,-0.064606406,NEDz,318.5720521354686,0.3997726628274629,12.58547727026122,114.3515512900552,0.11978082149582657,0.064606406,0
10/8/2025,11:03:18,19,MANUAL,13.687093167701857,3.851490683229816,52.71969366459609,9.00,0.1111111111111111,47.6260974,-122.3755471,47.6260974,-122.3755471,1.0256298780441284,0.14044742286205292,47.62610973611849,-122.3755446,7.032298019954136,-0.011932767,NEDz,299.4929691007843,0.1877804205099248,12.253246549920132,108.39339886815732,0.064638855,0.011932766996324062,0
10/8/2025,11:03:19,19,MANUAL,13.584543209876607,3.8702469135802477,52.55835580246902,10.00,0.1388888888888889,47.6261017,-122.3755482,47.6261017,-122.3755482,1.1000068187713623,0.036767639219760895,47.62611040507786,-122.375546,7.148333055001718,-0.055093229,NEDz,289.3478596008353,0.3328008793386412,12.455428807957576,111.97228709979801,0.12759869453899184,0.055093228816986084,0
10/8/2025,11:03:20,19,MANUAL,13.573520270270285,4.434864864864865,60.19690317567561,12.00,0.1388888888888889,47.6261006,-122.3755523,47.6261109,-122.3755517,1.193662405014038,-0.049105093,47.626111247432775,-122.3755471,5.240202642775871,-0.1062949,NEDz,282.3136831740213,0.14880876525028333,9.130656119988279,80.95944274,0.1270649241658402,0.1062949001789093,-0.039999999
10/8/2025,11:03:21,19,MANUAL,13.570536585365813,5.142560975609775,69.78651073170728,13.00,0.16666666666666666,47.6261006,-122.3755523,47.626111,-122.375552,1.2485042810440063,-0.03926589,47.62611174069032,-122.375547,6.528597497358555,-0.083430119,NEDz,282.0485182438905,0.2251430003017914,11.375586548427801,102.80493661699569,0.055717513,0.083430119,-0.029999999
10/8/2025,11:03:22,19,MANUAL,13.548571428571458,6.129751552795016,83.04832347826121,15.00,0.19444444444444445,47.6261006,-122.3755523,47.6261138,-122.3755534,1.538390040397644,-0.134370759,47.62611434797417,-122.3755483,7.069999742211762,-0.036300667,NEDz,303.06446135740487,0.25636232625808775,12.318938944762966,109.53659485228549,0.305088003,0.036300667,0.01
10/8/2025,11:03:23,19,MANUAL,13.544231707317095,6.241768292682943,84.50005567073164,16.00,0.2222222222222222,47.6261006,-122.3755549,47.6261156,-122.3755535,1.7259018421173096,-0.163368136,47.62611603448853,-122.3755487,6.975121736526489,-0.128201455,NEDz,332.6310799390719,0.21469600144319417,12.15362120758408,106.61974806583898,0.1897406746893906,0.1282014548778534,-0.07
10/8/2025,11:03:24,19,MANUAL,13.644217391304302,3.1871428571428626,43.47811720496896,17.00,0.2222222222222222,47.6260992,-122.3755573,47.6261163,-122.3755533,1.8119229078292847,-0.18091622,47.62611680817724,-122.3755489,6.892546366460575,-0.011158748,NEDz,345.86643047617366,0.2124487468914956,12.009739880954081,104.10658149402695,0.087792705,0.011158747598528862,0.039999999
10/8/2025,11:03:25,19,MANUAL,13.570066666666683,4.591393939393932,62.30577600000016,18.00,0.25,47.6260955,-122.3755535,47.6261171,-122.3755551,1.9386616945266724,-0.313975573,47.626117948088314,-122.3755507,7.070302885228937,-0.111967005,NEDz,348.10024079005393,0.2549997087229382,12.319467148505014,109.54030075789595,0.18375938446111287,0.11196700483560562,-0.029999999
