Date,Time,Latitude,Longitude,EKFlat,EKFlon,DVLx,DVLy,DVLlat,DVLlon,Altitude,Depth,Depth_Source,Heading,Velocity_mps,Width,Area_m2,Distance,NEDz,VFR_alt
2025-09-02,09:22:30,47.6208251,-122.3658713,,,0.0,0.0,47.6208251,-122.3658713,0.8335937298834324,-18.1274356842041,NEDz,64.22117572157899,0.11177691227446,1.4524739232817347,1.5226894154091555,0.0,18.1274356842041,0.0
2025-09-02,09:22:31,47.6208266,-122.365866,,,-0.011431097984313965,0.1142694428563118,47.62082499718658,-122.36586977986398,0.8302688002586365,-18.11853790283203,NEDz,64.604250696767,0.10667745536693962,1.446680485299136,1.5105223181647351,0.11483978218291296,18.11853790283203,0.0
2025-09-02,09:22:32,47.6208291,-122.3658591,,,0.0058716535568237305,0.21311611868441105,47.62082515281073,-122.36586846489834,0.8299999833106995,-18.106504440307617,NEDz,64.88617480495991,0.0979750124301682,1.4462120921322759,1.5095386215709463,0.10034964142018488,18.106504440307617,0.0
2025-09-02,09:22:33,47.6208284,-122.3658597,,,0.033669471740722656,0.2994531840085983,47.62082540282945,-122.36586731634908,0.8338285510880606,-18.087305068969727,NEDz,64.93687036378616,0.0928134131857327,1.4528830814413147,1.5235487095158529,0.09070175050448631,18.087305068969727,0.0
2025-09-02,09:22:34,47.6208289,-122.3658575,,,0.06142985820770264,0.38042066991329193,47.620825652511506,-122.36586623923179,0.8429569602012634,-18.060976028442383,NEDz,65.02710550499555,0.09702799485255313,1.4687886427749253,1.5570941668307396,0.08559423362892411,18.060976028442383,0.0
2025-09-02,09:22:35,47.6208243,-122.3658625,,,0.07415664196014404,0.46631506085395813,47.62082576697855,-122.36586509657147,0.8629743310121389,-18.035959243774414,NEDz,64.97716843385446,0.09605240806555136,1.5036673949453911,1.6319272275160022,0.08683212205024939,18.035959243774414,0.0
2025-09-02,09:22:36,47.6208263,-122.3658551,,,0.0798039436340332,0.5645930171012878,47.620825817771426,-122.36586378917153,0.8647026967357945,-18.021413803100586,NEDz,65.09138295276878,0.09687729977272652,1.5066789412820683,1.6385772625958877,0.09844007669820237,18.021413803100586,0.0
2025-09-02,09:22:37,47.6208244,-122.3658547,,,0.08103597164154053,0.6602030396461487,47.62082582885251,-122.36586251726334,0.8674210444877022,-18.012405395507812,NEDz,65.12498892627775,0.09236240375198816,1.511415456304331,1.6487659770251657,0.0956179601541472,18.012405395507812,0.0
2025-09-02,09:22:38,47.6208254,-122.3658498,,,0.08687078952789307,0.7540295422077179,47.62082588133194,-122.36586126908146,0.8726344108581543,-18.005109786987305,NEDz,65.21718632794529,0.0912523644986332,1.5204993522528463,1.6686444076943894,0.09400775331164475,18.005109786987305,0.0
2025-09-02,09:22:39,47.6208217,-122.3658539,,,0.10133063793182373,0.8443776071071625,47.62082601138649,-122.36586006717353,0.8662765818707486,-17.999380111694336,NEDz,65.50463782571298,0.09255580976605415,1.5094213168960002,1.6444275153443557,0.09149786908414265,17.999380111694336,0.0
2025-09-02,09:22:40,47.620821,-122.3658508,,,0.12613439559936523,0.9385038912296295,47.62082623447609,-122.36585881500362,0.8700000047683716,-17.997913360595703,NEDz,65.56505454111219,0.09815906096954603,1.515909099217619,1.6585423735524683,0.09733952823562232,17.997913360595703,0.0
2025-09-02,09:22:41,47.6208189,-122.3658505,,,0.14375007152557373,1.0271255671977997,47.620826392914736,-122.36585763606197,0.8546353795876106,-17.98539161682129,NEDz,65.303463662945,0.08054234611336142,1.4891374038268934,1.6005556385375648,0.09035548400481595,17.98539161682129,0.0
2025-09-02,09:22:42,47.6208208,-122.3658441,,,0.1404358148574829,1.0856342017650604,47.6208263631057,-122.36585685771666,0.8562631161589371,-17.963783264160156,NEDz,65.00549749882411,0.05515037371139778,1.4919736114890536,1.6066319484292724,0.05860242841544404,17.963783264160156,0.0
