meter_number,timestamp,cumulative_dist,step_distance_m,gap_seconds,quality_flag,x,y
65,2024_12_05_10-38-29,65.0105,0.0218,0.34,good,-16.363418579101562,15.910467147827148
66,2024_12_05_10-38-43,66.0005,0.021,0.33,good,-15.536375999450684,16.336524963378906
67,2024_12_05_10-38-54,67.0006,0.0268,0.33,good,-14.641199111938477,16.684240341186523
68,2024_12_05_10-39-03,68.0368,0.0449,0.34,good,-13.656402587890625,16.981040954589844
69,2024_12_05_10-39-11,69.0446,0.0455,0.34,good,-12.698575973510742,17.280481338500977
70,2024_12_05_10-39-18,70.0309,0.0507,0.34,good,-11.790407180786133,17.661958694458008
71,2024_12_05_10-39-25,71.0339,0.0358,0.33,good,-10.849780082702637,17.988800048828125
72,2024_12_05_10-39-36,72.0156,0.0395,0.35,good,-9.925182342529297,18.243946075439453
73,2024_12_05_10-39-47,73.0164,0.0349,0.33,good,-8.95462703704834,18.419391632080078
74,2024_12_05_10-39-55,74.0136,0.0448,0.33,good,-8.158891677856445,19.008689880371094
75,2024_12_05_10-40-04,75.0097,0.0254,0.32,good,-7.316050052642822,19.536901473999023
76,2024_12_05_10-40-13,76.0274,0.0347,0.34,good,-6.404109954833984,19.980459213256836
77,2024_12_05_10-40-26,77.0219,0.0222,0.33,good,-5.599673748016357,20.550567626953125
78,2024_12_05_10-40-40,78.0033,0.0215,0.33,good,-4.876522541046143,21.20577049255371
79,2024_12_05_10-40-54,79.0056,0.0296,0.33,good,-4.361996173858643,22.022418975830078
80,2024_12_05_10-41-13,80.0254,0.0275,0.33,good,-3.820777416229248,22.840646743774414
81,2024_12_05_10-41-26,81.0006,0.0243,0.34,good,-3.232283592224121,23.584436416625977
82,2024_12_05_10-41-38,82.005,0.0241,0.33,good,-2.5323309898376465,24.259550094604492
83,2024_12_05_10-41-51,83.0203,0.0283,0.34,good,-1.7284547090530396,24.87160873413086
84,2024_12_05_10-42-01,84.0184,0.0362,0.34,good,-0.872361421585083,25.378721237182617
85,2024_12_05_10-42-09,85.0084,0.0472,0.34,good,0.003564834827557206,25.83695411682129
86,2024_12_05_10-42-15,86.0484,0.0486,0.33,good,0.8353233933448792,26.45682716369629
87,2024_12_05_10-42-24,87.0211,0.0275,0.34,good,1.5198379755020142,27.137250900268555
88,2024_12_05_10-42-33,88.0293,0.0413,0.34,good,2.249577283859253,27.829395294189453
89,2024_12_05_10-42-42,89.0019,0.0318,0.33,good,2.9411511421203613,28.509183883666992
90,2024_12_05_10-42-53,90.0091,0.0109,0.33,good,3.5699193477630615,29.219106674194336
91,2024_12_05_10-43-04,91.0187,0.0401,0.34,good,4.442567348480225,29.707378387451172
92,2024_12_05_10-43-12,92.0332,0.0421,0.33,good,5.225214004516602,30.33917236328125
93,2024_12_05_10-43-20,93.0042,0.0385,0.34,good,6.021641731262207,30.879961013793945
94,2024_12_05_10-43-29,94.0141,0.0465,0.33,good,6.885955333709717,31.39441680908203
95,2024_12_05_10-43-37,95.0046,0.0235,0.33,good,7.682994842529297,31.959247589111328
96,2024_12_05_10-43-50,96.0052,0.0279,0.34,good,8.558408737182617,32.42061233520508
97,2024_12_05_10-44-02,97.0078,0.0237,0.33,good,9.347379684448242,33.00589370727539
98,2024_12_05_10-44-14,98.0027,0.0292,0.34,good,10.145445823669434,33.52376937866211
99,2024_12_05_10-44-22,99.0112,0.0378,0.34,good,11.035456657409668,33.97478485107422
100,2024_12_05_10-44-34,100.0227,0.0361,0.33,good,11.808664321899414,34.609832763671875
101,2024_12_05_10-44-42,101.008,0.0476,0.33,good,12.610760688781738,35.17780685424805
102,2024_12_05_10-44-55,102.0188,0.0304,0.33,good,13.448492050170898,35.725486755371094
103,2024_12_05_10-45-06,103.0308,0.0481,0.32,good,14.306395530700684,36.24793243408203
104,2024_12_05_10-45-13,104.0227,0.0296,0.33,good,15.137040138244629,36.77653121948242
105,2024_12_05_10-45-21,105.0357,0.0471,0.34,good,15.98185920715332,37.3333740234375
106,2024_12_05_10-45-32,106.0072,0.0409,0.33,good,16.851594924926758,37.753746032714844
107,2024_12_05_10-45-41,107.0288,0.0424,0.34,good,17.61797523498535,38.354766845703125
108,2024_12_05_10-45-54,108.0001,0.0175,0.33,good,18.206241607666016,39.0903434753418
109,2024_12_05_10-46-05,109.003,0.0279,0.34,good,18.791948318481445,39.81221389770508
110,2024_12_05_10-46-18,110.0139,0.0329,0.31,good,19.26557159423828,40.66655731201172
111,2024_12_05_10-46-30,111.0179,0.0224,0.35,good,19.47027015686035,41.63954544067383
